name,pdf_page,match_type,menu_ids,menu_paths,behavior_verified
IR2 pitch discrepancy,10,reviewed_name_or_group_rewording,M188,ATA 34 - Navigation → Pitch discrepancy → Ir2,False
IR2 position failure,10,normalized_exact_label_or_group_label,M176,ATA 34 - Navigation → IRS position failure → Ir2 Position Failure,False
IR3 alignment,10,normalized_exact_label_or_group_label,M183,ATA 34 - Navigation → IRS Alignment → Ir3 Alignment,False
IR3 bank discrepancy,10,reviewed_name_or_group_rewording,M192,ATA 34 - Navigation → Bank discrepancy → Ir3,False
IR3 heading discrepancy,10,reviewed_name_or_group_rewording,M195,ATA 34 - Navigation → Heading discrepancy → Ir3,False
IR3 IR failure,10,normalized_exact_label_or_group_label,M174,ATA 34 - Navigation → IR fault → Ir3 Ir Failure,False
IR3 pitch discrepancy,10,reviewed_name_or_group_rewording,M189,ATA 34 - Navigation → Pitch discrepancy → Ir3,False
IR3 position failure,10,normalized_exact_label_or_group_label,M177,ATA 34 - Navigation → IRS position failure → Ir3 Position Failure,False
L Elev failure,10,reviewed_name_or_group_rewording,M307,ATA 27 - Flight controls → Elev → L  Failure,False
Lavatory/Galley fan,10,normalized_exact_label_or_group_label,M223,ATA 36 - Pneumatic → Lavatory/Galley fan,False
Left avionics door,10,normalized_exact_label_or_group_label,M343,ATA 52 - Doors → Doors left → Left Avionics Door,False
Left high EGT,10,not_found,,,False
Left high N1,10,not_found,,,False
Left main gear does not lock,10,normalized_exact_label_or_group_label,M167,ATA 32 - Landing gear → Gear lock → Left Main Gear Does Not Lock,False
Left nacelle temperature high,10,not_found,,,False
Left oil pressure below advisory limit,10,not_found,,,False
Left oil pressure high,10,not_found,,,False
Left oil pressure low,10,not_found,,,False
Left reverser inhibited by maint,10,normalized_exact_label_or_group_label,M375,ATA 70 - Power plant → Reverser inhibited by maintenance → Left Reverser Inhibited By Maint,False
Left reverser pressurized,10,reviewed_group_label_alias,M371,ATA 70 - Power plant → Reverser pressurized → Left,False
Left reverser unlocked,10,reviewed_group_label_alias,M373,ATA 70 - Power plant → Reverser unlocked → Left,False
Left Static heat Capt,10,reviewed_group_label_alias,M263,ATA 30 - Ice and rain protection → Static Heat → Left  Capt,False
Left Static heat F/O,10,reviewed_group_label_alias,M265,ATA 30 - Ice and rain protection → Static Heat → Left  F/o,False
Left Static heat Stby,10,reviewed_group_label_alias,M267,ATA 30 - Ice and rain protection → Static Heat → Left  Stby,False
Left transfer 1,11,normalized_exact_label_or_group_label,M111,ATA 28 - Fuel → Fuel transfer valves → Left Transfer 1,False
Left transfer 2,11,normalized_exact_label_or_group_label,M112,ATA 28 - Fuel → Fuel transfer valves → Left Transfer 2,False
Left WAI Valve,11,normalized_exact_label_or_group_label,M248,ATA 30 - Ice and rain protection → WAI Valves → Left Wai Valve,False
Left wing 1 door,11,normalized_exact_label_or_group_label,M346,ATA 52 - Doors → Doors left → Left Wing 1 Door,False
Left wing 2 door,11,normalized_exact_label_or_group_label,M347,ATA 52 - Doors → Doors left → Left Wing 2 Door,False
LGCUI 1,11,reviewed_group_label_alias,M164,ATA 32 - Landing gear → LGCIU → 1,False
LGCUI 2,11,reviewed_group_label_alias,M165,ATA 32 - Landing gear → LGCIU → 2,False
Localizer,11,normalized_exact_label_or_group_label,M213,ATA 34 - Navigation → ILS transmitter → Localizer,False
MCDU 1,11,normalized_exact_label_or_group_label,M198,ATA 34 - Navigation → MCDU → 1,False
MCDU 2,11,normalized_exact_label_or_group_label,M199,ATA 34 - Navigation → MCDU → 2,False
Nose gear does not lock,11,normalized_exact_label_or_group_label,M168,ATA 32 - Landing gear → Gear lock → Nose Gear Does Not Lock,False
Nose wheel steering,11,normalized_exact_label_or_group_label,M163,ATA 32 - Landing gear → Nose wheel steering,False
Outer tank high fuel temp advisory,11,reviewed_name_or_group_rewording,M106,ATA 28 - Fuel → Fuel temp high → Outer Tank High Fuel Temp Adv,False
Outer tank high fuel temp ECAM,11,normalized_exact_label_or_group_label,M104,ATA 28 - Fuel → Fuel temp high → Outer Tank High Fuel Temp Ecam,False
Outer tank low fuel temp advisory,11,reviewed_name_or_group_rewording,M110,ATA 28 - Fuel → Fuel temp low → Outer Tank Low Fuel Temp Adv,False
Outer tank low fuel temp ECAM,11,normalized_exact_label_or_group_label,M108,ATA 28 - Fuel → Fuel temp low → Outer Tank Low Fuel Temp Ecam,False
Outflow valve stuck,11,normalized_exact_label_or_group_label,M019,ATA 21 - Air Conditioning → Outflow valve stuck,False
Oxygen supply valve,11,normalized_exact_label_or_group_label,M339,ATA 35 - Oxygen → Crew oxygen → Oxygen Supply Valve,False
Pack 1 flow control valve,11,normalized_exact_label_or_group_label,M236,ATA 36 - Pneumatic → Pack valves → Pack 1 Flow Control Valve,False
Pack 1 overheat,11,reviewed_group_label_alias,M003,ATA 21 - Air Conditioning → Overheat → Pack 1,False
Pack 1 regulator fault,11,reviewed_group_label_alias,M005,ATA 21 - Air Conditioning → Regulator fault → Pack 1,False
Pack 2 flow control valve,11,normalized_exact_label_or_group_label,M237,ATA 36 - Pneumatic → Pack valves → Pack 2 Flow Control Valve,False
Pack 2 overheat,11,reviewed_group_label_alias,M004,ATA 21 - Air Conditioning → Overheat → Pack 2,False
Pack 2 regulator fault,11,reviewed_group_label_alias,M006,ATA 21 - Air Conditioning → Regulator fault → Pack 2,False
PHC 1,11,normalized_exact_label_or_group_label,M269,ATA 30 - Ice and rain protection → PHC → 1,False
PHC 2,11,normalized_exact_label_or_group_label,M270,ATA 30 - Ice and rain protection → PHC → 2,False
PHC 3,11,normalized_exact_label_or_group_label,M271,ATA 30 - Ice and rain protection → PHC → 3,False
Pitot blocked Capt,12,normalized_exact_label_or_group_label,M184,ATA 34 - Navigation → Pitot blocked → Capt,False
Pitot blocked F/O,12,normalized_exact_label_or_group_label,M185,ATA 34 - Navigation → Pitot blocked → F/o,False
Pitot blocked Stdby,12,normalized_exact_label_or_group_label,M186,ATA 34 - Navigation → Pitot blocked → Stdby,False
Pitot heat Capt,12,normalized_exact_label_or_group_label,M260,ATA 30 - Ice and rain protection → Pitot Heat → Capt,False
Pitot heat F/O,12,normalized_exact_label_or_group_label,M261,ATA 30 - Ice and rain protection → Pitot Heat → F/o,False
Pitot heat STBY,12,normalized_exact_label_or_group_label,M262,ATA 30 - Ice and rain protection → Pitot Heat → Stby,False
PTU Fault,12,normalized_exact_label_or_group_label,M142,ATA 29 - Hydraulic power → PTU Fault,False
R Elev failure,12,reviewed_name_or_group_rewording,M308,ATA 27 - Flight controls → Elev → R  Failure,False
Radio altimeter 1,12,normalized_exact_label_or_group_label,M217,ATA 34 - Navigation → Radio altimeter → 1,False
Radio altimeter 2,12,normalized_exact_label_or_group_label,M218,ATA 34 - Navigation → Radio altimeter → 2,False
Ram air valve,12,normalized_exact_label_or_group_label,M226,ATA 36 - Pneumatic → Pneumatic valves → Ram Air Valve,False
Rapid decompression,12,reviewed_name_or_group_rewording,M018,ATA 21 - Air Conditioning → Decompression → Rapid,False
Reactive W/S det channel 1,12,normalized_exact_label_or_group_label,M033,ATA 22 - AutoFlight → Reactive W/S det → Channel 1,False
Reactive W/S det channel 2,12,normalized_exact_label_or_group_label,M034,ATA 22 - AutoFlight → Reactive W/S det → Channel 2,False
Recirculation fans,12,normalized_exact_label_or_group_label,M016,ATA 21 - Air Conditioning → Recirculation fans,False
Reverser shutoff valve left,12,normalized_exact_label_or_group_label,M383,ATA 70 - Power plant → Reverser shutoff valve → Left,False
Reverser shutoff valve right,12,normalized_exact_label_or_group_label,M384,ATA 70 - Power plant → Reverser shutoff valve → Right,False
Right avionics door,12,normalized_exact_label_or_group_label,M344,ATA 52 - Doors → Doors left → Right Avionics Door,False
Right high EGT,12,not_found,,,False
Right high N1,12,not_found,,,False
Right main gear does not lock,12,normalized_exact_label_or_group_label,M169,ATA 32 - Landing gear → Gear lock → Right Main Gear Does Not Lock,False
Right nacelle temperature high,12,not_found,,,False
Right oil pressure below advisory limit,12,not_found,,,False
Right oil pressure high,12,not_found,,,False
Right oil pressure low,12,not_found,,,False
Right reverser inhibited by maint,12,normalized_exact_label_or_group_label,M376,ATA 70 - Power plant → Reverser inhibited by maintenance → Right Reverser Inhibited By Maint,False
Right reverser pressurized,12,reviewed_group_label_alias,M372,ATA 70 - Power plant → Reverser pressurized → Right,False
Right reverser unlocked,12,reviewed_group_label_alias,M374,ATA 70 - Power plant → Reverser unlocked → Right,False
Right Static heat Capt,13,reviewed_group_label_alias,M264,ATA 30 - Ice and rain protection → Static Heat → Right  Capt,False
Right Static heat F/O,13,reviewed_group_label_alias,M266,ATA 30 - Ice and rain protection → Static Heat → Right  F/o,False
Right Static heat Stby,13,reviewed_group_label_alias,M268,ATA 30 - Ice and rain protection → Static Heat → Right  Stby,False
Right transfer 1,13,normalized_exact_label_or_group_label,M113,ATA 28 - Fuel → Fuel transfer valves → Right Transfer 1,False
Right transfer 2,13,normalized_exact_label_or_group_label,M114,ATA 28 - Fuel → Fuel transfer valves → Right Transfer 2,False
Right WAI Valve,13,normalized_exact_label_or_group_label,M249,ATA 30 - Ice and rain protection → WAI Valves → Right Wai Valve,False
Right wing 1 door,13,normalized_exact_label_or_group_label,M352,ATA 52 - Doors → Doors right → Right Wing 1 Door,False
Right wing 2 door,13,normalized_exact_label_or_group_label,M353,ATA 52 - Doors → Doors right → Right Wing 2 Door,False
Rudder travel limiter channel 1,13,normalized_exact_label_or_group_label,M029,ATA 22 - AutoFlight → Rudder travel limiter → Channel 1,False
Rudder travel limiter channel 2,13,normalized_exact_label_or_group_label,M030,ATA 22 - AutoFlight → Rudder travel limiter → Channel 2,False
Rudder trim channel 1,13,normalized_exact_label_or_group_label,M031,ATA 22 - AutoFlight → Rudder trim → Channel 1,False
Rudder trim channel 2,13,normalized_exact_label_or_group_label,M032,ATA 22 - AutoFlight → Rudder trim → Channel 2,False
SDAC 1,13,normalized_exact_label_or_group_label,M319,ATA 31 - Indicating/Recording system → SDAC → 1,False
SDAC 2,13,normalized_exact_label_or_group_label,M320,ATA 31 - Indicating/Recording system → SDAC → 2,False
SDCU,13,normalized_exact_label_or_group_label,M073,ATA 26 - Fire protection → SDCU,False
SEC 1,13,reviewed_group_label_alias,M287,ATA 27 - Flight controls → Nonresettable fault → Sec 1,False
SEC 1 resettable fault,13,reviewed_name_or_group_rewording,M292,ATA 27 - Flight controls → Resettable fault → Sec 1,False
SEC 2,13,reviewed_group_label_alias,M288,ATA 27 - Flight controls → Nonresettable fault → Sec 2,False
SEC 2 resettable fault,13,reviewed_name_or_group_rewording,M293,ATA 27 - Flight controls → Resettable fault → Sec 2,False
SEC 3,13,reviewed_group_label_alias,M289,ATA 27 - Flight controls → Nonresettable fault → Sec 3,False
SEC 3 resettable fault,13,reviewed_name_or_group_rewording,M294,ATA 27 - Flight controls → Resettable fault → Sec 3,False
SFCC 1,13,normalized_exact_label_or_group_label,M279,ATA 27 - Flight controls → SFCC → 1,False
SFCC 1 flap sys,13,reviewed_name_or_group_rewording,M281,ATA 27 - Flight controls → Flap → Sfcc 1  Sys,False
SFCC 1 slat sys,13,reviewed_name_or_group_rewording,M283,ATA 27 - Flight controls → Slat → Sfcc 1  Sys,False
SFCC 2,13,normalized_exact_label_or_group_label,M280,ATA 27 - Flight controls → SFCC → 2,False
SFCC 2 flap sys,13,reviewed_group_label_alias,M282,ATA 27 - Flight controls → Flap → Sfcc 2  Sys,False
SFCC 2 slat sys,13,reviewed_group_label_alias,M284,ATA 27 - Flight controls → Slat → Sfcc 2  Sys,False
Sidestick fault Capt,13,normalized_exact_label_or_group_label,M301,ATA 27 - Flight controls → Sidestick → Fault Capt,False
Sidestick fault F/O,13,normalized_exact_label_or_group_label,M302,ATA 27 - Flight controls → Sidestick → Fault F/o,False
Sidestick reversal Capt,13,split_pitch_roll_controls,M297; M298,ATA 27 - Flight controls → Sidestick reversal → Pitch Capt; ATA 27 - Flight controls → Sidestick reversal → Roll Capt,False
Sidestick reversal F/O,14,split_pitch_roll_controls,M299; M300,ATA 27 - Flight controls → Sidestick reversal → Pitch F/o; ATA 27 - Flight controls → Sidestick reversal → Roll F/o,False
Slat locked,14,normalized_exact_label_or_group_label,M277,ATA 27 - Flight controls → Surface lock → Slat Locked,False
Slow decompression,14,reviewed_name_or_group_rewording,M017,ATA 21 - Air Conditioning → Decompression → Slow,False
Stabilizer jam,14,normalized_exact_label_or_group_label,M305,ATA 27 - Flight controls → Stabilizer jam,False
Start valve left,14,normalized_exact_label_or_group_label,M309,ATA 80 - Start faults → Start valve → Left,False
Start valve right,14,normalized_exact_label_or_group_label,M310,ATA 80 - Start faults → Start valve → Right,False
Static inverter,14,normalized_exact_label_or_group_label,M066,ATA 24 - Electrical power → Static inverter,False
TAT heat Capt,14,normalized_exact_label_or_group_label,M257,ATA 30 - Ice and rain protection → TAT Heat → Capt,False
TAT heat F/O,14,normalized_exact_label_or_group_label,M258,ATA 30 - Ice and rain protection → TAT Heat → F/o,False
TAT heat STBY,14,normalized_exact_label_or_group_label,M259,ATA 30 - Ice and rain protection → TAT Heat → Stby,False
TCAS,14,normalized_exact_label_or_group_label,M220,ATA 34 - Navigation → TCAS,False
TR 1,14,normalized_exact_label_or_group_label,M067,ATA 24 - Electrical power → TR Failure → Tr 1,False
TR 2,14,normalized_exact_label_or_group_label,M068,ATA 24 - Electrical power → TR Failure → Tr 2,False
Tyre pressure left 1 low,14,normalized_exact_label_or_group_label,M159,ATA 32 - Landing gear → Tyre pressure → Left 1 Low,False
Tyre pressure left 2 low,14,normalized_exact_label_or_group_label,M160,ATA 32 - Landing gear → Tyre pressure → Left 2 Low,False
Tyre pressure main 1 low,14,normalized_exact_label_or_group_label,M157,ATA 32 - Landing gear → Tyre pressure → Main 1 Low,False
Tyre pressure main 2 low,14,normalized_exact_label_or_group_label,M158,ATA 32 - Landing gear → Tyre pressure → Main 2 Low,False
Tyre pressure right 1 low,14,normalized_exact_label_or_group_label,M161,ATA 32 - Landing gear → Tyre pressure → Right 1 Low,False
Tyre pressure right 2 low,14,normalized_exact_label_or_group_label,M162,ATA 32 - Landing gear → Tyre pressure → Right 2 Low,False
Vent extract valve,14,normalized_exact_label_or_group_label,M024,ATA 21 - Air Conditioning → Ventilation valves → Vent Extract Valve,False
Vent inlet valve,14,normalized_exact_label_or_group_label,M023,ATA 21 - Air Conditioning → Ventilation valves → Vent Inlet Valve,False
Ventilation AEVC,14,normalized_exact_label_or_group_label,M020,ATA 21 - Air Conditioning → Ventilation → Aevc,False
Ventilation blower fault,14,normalized_exact_label_or_group_label,M021,ATA 21 - Air Conditioning → Ventilation → Blower Fault,False
Ventilation extract fault,14,normalized_exact_label_or_group_label,M022,ATA 21 - Air Conditioning → Ventilation → Extract Fault,False
VOR 1,14,normalized_exact_label_or_group_label,M205,ATA 34 - Navigation → Radios → Vor 1,False
VOR 2,14,normalized_exact_label_or_group_label,M206,ATA 34 - Navigation → Radios → Vor 2,False
WHC 1,14,normalized_exact_label_or_group_label,M252,ATA 30 - Ice and rain protection → WHC → 1,False
WHC 2,14,normalized_exact_label_or_group_label,M253,ATA 30 - Ice and rain protection → WHC → 2,False
Wheel brake fault 1,15,normalized_exact_label_or_group_label,M153,ATA 32 - Landing gear → Wheel brake fault → 1,False
Wheel brake fault 2,15,normalized_exact_label_or_group_label,M154,ATA 32 - Landing gear → Wheel brake fault → 2,False
Wheel brake fault 3,15,normalized_exact_label_or_group_label,M155,ATA 32 - Landing gear → Wheel brake fault → 3,False
Wheel brake fault 4,15,normalized_exact_label_or_group_label,M156,ATA 32 - Landing gear → Wheel brake fault → 4,False
Yaw damper channel 1,15,normalized_exact_label_or_group_label,M295,ATA 27 - Flight controls → Yaw damper → Channel 1,False
Yaw damper channel 2,15,normalized_exact_label_or_group_label,M296,ATA 27 - Flight controls → Yaw damper → Channel 2,False
Yellow hydraulic leak,15,reviewed_group_label_alias,M128,ATA 29 - Hydraulic power → Hydraulic leak → Yellow,False
Yellow low reservoir air pressure,15,normalized_exact_label_or_group_label,M134,ATA 29 - Hydraulic power → Reservoir low air pressure → Yellow Low Reservoir Air Pressure,False
Yellow reservoir overheat,15,reviewed_name_or_group_rewording,M131,ATA 29 - Hydraulic power → Reservoir overheat → Yellow,False
Zone controller primary,15,normalized_exact_label_or_group_label,M007,ATA 21 - Air Conditioning → Zone controller → Primary,False
Zone controller secondary,15,normalized_exact_label_or_group_label,M008,ATA 21 - Air Conditioning → Zone controller → Secondary,False
