name,pdf_page,match_type,menu_ids,menu_paths,behavior_verified
BMC 2,3,normalized_exact_label_or_group_label,M233,ATA 36 - Pneumatic → BMC → 2,False
BSCU 1 brake fault,3,reviewed_name_or_group_rewording,M150,ATA 32 - Landing gear → Brake fault → Bscu 1,False
BSCU 2 brake fault,4,reviewed_name_or_group_rewording,M151,ATA 32 - Landing gear → Brake fault → Bscu 2,False
BSCU SYS 1,4,normalized_exact_label_or_group_label,M147,ATA 32 - Landing gear → BSCU → Sys 1,False
BSCU SYS 2,4,normalized_exact_label_or_group_label,M148,ATA 32 - Landing gear → BSCU → Sys 2,False
Bulk door,4,normalized_exact_label_or_group_label,M355,ATA 52 - Doors → Doors right → Bulk Door,False
Capt stuck mic,4,reviewed_name_or_group_rewording,M246,ATA 23 - Communications → Stuck mic → Capt,False
Cargo aft isolation valve downstream,4,normalized_exact_label_or_group_label,M015,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Downstream,False
Cargo aft isolation valve upstream,4,normalized_exact_label_or_group_label,M014,ATA 21 - Air Conditioning → Cargo vent → Cargo Aft Isolation Valve Upstream,False
Cargo fwd isolation valve downstream,4,normalized_exact_label_or_group_label,M013,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Downstream,False
Cargo fwd isolation valve upstream,4,normalized_exact_label_or_group_label,M012,ATA 21 - Air Conditioning → Cargo vent → Cargo Fwd Isolation Valve Upstream,False
Cargo ventilation controller,4,normalized_exact_label_or_group_label,M010,ATA 21 - Air Conditioning → Cargo ventilation controller,False
CDU 1 recoverable fault,4,normalized_exact_label_or_group_label,M200,ATA 34 - Navigation → MCDU recoverable fault → Cdu 1 Recoverable Fault,False
CDU 2 recoverable fault,4,normalized_exact_label_or_group_label,M201,ATA 34 - Navigation → MCDU recoverable fault → Cdu 2 Recoverable Fault,False
CFDIU,4,normalized_exact_label_or_group_label,M317,ATA 31 - Indicating/Recording system → CFDIU,False
CPC 1,4,normalized_exact_label_or_group_label,M001,ATA 21 - Air Conditioning → CPC → 1,False
CPC 2,4,normalized_exact_label_or_group_label,M002,ATA 21 - Air Conditioning → CPC → 2,False
Crew oxygen pressure < 400,4,normalized_exact_label_or_group_label,M335,ATA 35 - Oxygen → Crew oxygen 1 → Crew Oxygen Pressure < 400,False
Crew oxygen pressure < 800,4,normalized_exact_label_or_group_label,M336,ATA 35 - Oxygen → Crew oxygen 1 → Crew Oxygen Pressure < 800,False
Crossbleed valve,4,normalized_exact_label_or_group_label,M234,ATA 36 - Pneumatic → Pneumatic valve → Crossbleed Valve,False
Crossfeed valve,4,normalized_exact_label_or_group_label,M117,ATA 28 - Fuel → Fuel valves → Crossfeed Valve,False
CVR,4,normalized_exact_label_or_group_label,M323,ATA 31 - Indicating/Recording system → CVR,False
DC Bat bus,4,normalized_exact_label_or_group_label,M044,ATA 24 - Electrical power → DC Bus Fault → Dc Bat Bus,False
DC bus 1,4,normalized_exact_label_or_group_label,M045,ATA 24 - Electrical power → DC Bus Fault → Dc Bus 1,False
DC bus 2,4,normalized_exact_label_or_group_label,M046,ATA 24 - Electrical power → DC Bus Fault → Dc Bus 2,False
DC essential bus,4,normalized_exact_label_or_group_label,M049,ATA 24 - Electrical power → DC Bus Fault → Dc Essential Bus,False
DC essential shed bus,4,normalized_exact_label_or_group_label,M050,ATA 24 - Electrical power → DC Bus Fault → Dc Essential Shed Bus,False
Direct law,4,normalized_exact_label_or_group_label,M037,ATA 22 - AutoFlight → Law override → Direct Law,False
DMC 1,4,normalized_exact_label_or_group_label,M324,ATA 31 - Indicating/Recording system → DMC → 1,False
DMC 2,5,normalized_exact_label_or_group_label,M325,ATA 31 - Indicating/Recording system → DMC → 2,False
DMC 3,5,normalized_exact_label_or_group_label,M326,ATA 31 - Indicating/Recording system → DMC → 3,False
DU Capt ND,5,normalized_exact_label_or_group_label,M330,ATA 31 - Indicating/Recording system → DU → Capt Nd,False
DU Capt PFD,5,normalized_exact_label_or_group_label,M329,ATA 31 - Indicating/Recording system → DU → Capt Pfd,False
DU ECAM Lower,5,normalized_exact_label_or_group_label,M334,ATA 31 - Indicating/Recording system → DU → Ecam Lower,False
DU ECAM Upper,5,normalized_exact_label_or_group_label,M333,ATA 31 - Indicating/Recording system → DU → Ecam Upper,False
DU F/O ND,5,normalized_exact_label_or_group_label,M331,ATA 31 - Indicating/Recording system → DU → F/o Nd,False
DU F/O PFD,5,normalized_exact_label_or_group_label,M332,ATA 31 - Indicating/Recording system → DU → F/o Pfd,False
ECB,5,normalized_exact_label_or_group_label,M243,ATA 49 - APU → ECB,False
ECP,5,normalized_exact_label_or_group_label,M318,ATA 31 - Indicating/Recording system → ECP,False
EIU 1,5,normalized_exact_label_or_group_label,M361,ATA 70 - Power plant → EIU → 1,False
EIU 2,5,normalized_exact_label_or_group_label,M362,ATA 70 - Power plant → EIU → 2,False
ELAC 1,5,reviewed_group_label_alias,M285,ATA 27 - Flight controls → Nonresettable fault → Elac 1,False
ELAC 1 resettable fault,5,reviewed_name_or_group_rewording,M290,ATA 27 - Flight controls → Resettable fault → Elac 1,False
ELAC 2,5,reviewed_group_label_alias,M286,ATA 27 - Flight controls → Nonresettable fault → Elac 2,False
ELAC 2 resettable fault,5,reviewed_name_or_group_rewording,M291,ATA 27 - Flight controls → Resettable fault → Elac 2,False
Elec blue pump overheat,5,normalized_exact_label_or_group_label,M145,ATA 29 - Hydraulic power → Elec pump overheat → Elec Blue Pump Overheat,False
Elec hyd pump blue failure,5,normalized_exact_label_or_group_label,M143,ATA 29 - Hydraulic power → Elec pumps → Elec Hyd Pump Blue Failure,False
Elec hyd pump yellow failure,5,normalized_exact_label_or_group_label,M144,ATA 29 - Hydraulic power → Elec pumps → Elec Hyd Pump Yellow Failure,False
Elec yellow pump overheat,5,normalized_exact_label_or_group_label,M146,ATA 29 - Hydraulic power → Elec pump overheat → Elec Yellow Pump Overheat,False
Elev L+R failure,5,normalized_exact_label_or_group_label,M306,ATA 27 - Flight controls → Elev → L+r Failure,False
Eng 1 bleed low temp,5,normalized_exact_label_or_group_label,M230,ATA 36 - Pneumatic → Bleed air low temperature → Eng 1 Bleed Low Temp,False
Eng 1 bleed valve,5,normalized_exact_label_or_group_label,M227,ATA 36 - Pneumatic → Pneumatic valves → Eng 1 Bleed Valve,False
Eng 1 EAI Valve,5,normalized_exact_label_or_group_label,M250,ATA 30 - Ice and rain protection → EAI Valves → Eng 1 Eai Valve,False
Eng 1 failure,5,normalized_exact_label_or_group_label,M365,ATA 70 - Power plant → Engine failure → Eng 1 Failure,False
Eng 1 failure with damage,5,normalized_exact_label_or_group_label,M367,ATA 70 - Power plant → Engine failure with damage → Eng 1 Failure With Damage,False
Eng 1 fire extinguished with 1 bottle,5,normalized_exact_label_or_group_label,M080,ATA 26 - Fire protection → Fire 1 bottle → Eng 1 Fire Extinguished With 1 Bottle,False
Eng 1 fire extinguished with 2 bottles,5,normalized_exact_label_or_group_label,M083,ATA 26 - Fire protection → Fire 2 bottles → Eng 1 Fire Extinguished With 2 Bottles,False
Eng 1 fire valve,5,normalized_exact_label_or_group_label,M140,ATA 29 - Hydraulic power → Fire valves → Eng 1 Fire Valve,False
Eng 1 fuel valve stuck,5,normalized_exact_label_or_group_label,M115,ATA 28 - Fuel → Fuel valves → Eng 1 Fuel Valve Stuck,False
Eng 1 high vibration N1,5,reviewed_name_or_group_rewording,M377,ATA 70 - Power plant → vibration N1 → Eng 1 High,False
Eng 1 high vibration N2,6,reviewed_name_or_group_rewording,M379,ATA 70 - Power plant → vibration N2 → Eng 1 High,False
Eng 1 hot start,6,reviewed_name_or_group_rewording,M311,ATA 80 - Start faults → Hot start → Eng 1,False
Eng 1 hp fuel valve,6,reviewed_name_or_group_rewording,M124,ATA 28 - Fuel → HP Fuel valve → Eng 1,False
Eng 1 HP Valve,6,normalized_exact_label_or_group_label,M224,ATA 36 - Pneumatic → Pneumatic valves → Eng 1 Hp Valve,False
Eng 1 hung start,6,normalized_exact_label_or_group_label,M313,ATA 80 - Start faults → Stall/Hung start → Eng 1 Hung Start,False
Eng 1 Loop A,6,normalized_exact_label_or_group_label,M085,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop A,False
Eng 1 Loop B,6,normalized_exact_label_or_group_label,M086,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop B,False
Eng 1 low oil quantity,6,not_found,,,False
Eng 1 no ignition,6,reviewed_group_label_alias,M315,ATA 80 - Start faults → No ignition → Eng 1,False
Eng 1 oil temperature high,6,not_found,,,False
Eng 1 oil temperature high advisory,6,not_found,,,False
Eng 1 pump failure,6,normalized_exact_label_or_group_label,M138,ATA 29 - Hydraulic power → Engine pumps → Eng 1 Pump Failure,False
Eng 1 inextinguishable fire,6,reviewed_name_or_group_rewording,M077,ATA 26 - Fire protection → Fire unextinguishable → Eng 1 Unextinguishable Fire,False
Eng 2 bleed low temp,6,normalized_exact_label_or_group_label,M231,ATA 36 - Pneumatic → Bleed air low temperature → Eng 2 Bleed Low Temp,False
Eng 2 bleed valve,6,normalized_exact_label_or_group_label,M228,ATA 36 - Pneumatic → Pneumatic valves → Eng 2 Bleed Valve,False
Eng 2 EAI Valve,6,normalized_exact_label_or_group_label,M251,ATA 30 - Ice and rain protection → EAI Valves → Eng 2 Eai Valve,False
Eng 2 failure,6,normalized_exact_label_or_group_label,M366,ATA 70 - Power plant → Engine failure → Eng 2 Failure,False
Eng 2 failure with damage,6,normalized_exact_label_or_group_label,M368,ATA 70 - Power plant → Engine failure with damage → Eng 2 Failure With Damage,False
Eng 2 fire extinguished with 1 bottle,6,normalized_exact_label_or_group_label,M081,ATA 26 - Fire protection → Fire 1 bottle → Eng 2 Fire Extinguished With 1 Bottle,False
Eng 2 fire extinguished with 2 bottles,6,normalized_exact_label_or_group_label,M084,ATA 26 - Fire protection → Fire 2 bottles → Eng 2 Fire Extinguished With 2 Bottles,False
Eng 2 fire valve,6,normalized_exact_label_or_group_label,M141,ATA 29 - Hydraulic power → Fire valves → Eng 2 Fire Valve,False
Eng 2 fuel valve stuck,6,normalized_exact_label_or_group_label,M116,ATA 28 - Fuel → Fuel valves → Eng 2 Fuel Valve Stuck,False
Eng 2 high vibration N1,6,reviewed_name_or_group_rewording,M378,ATA 70 - Power plant → vibration N1 → Eng 2 High,False
Eng 2 high vibration N2,6,reviewed_name_or_group_rewording,M380,ATA 70 - Power plant → vibration N2 → Eng 2 High,False
Eng 2 hot start,6,reviewed_name_or_group_rewording,M312,ATA 80 - Start faults → Hot start → Eng 2,False
Eng 2 hp fuel valve,6,reviewed_name_or_group_rewording,M125,ATA 28 - Fuel → HP Fuel valve → Eng 2,False
Eng 2 HP Valve,6,normalized_exact_label_or_group_label,M225,ATA 36 - Pneumatic → Pneumatic valves → Eng 2 Hp Valve,False
Eng 2 hung start,6,normalized_exact_label_or_group_label,M314,ATA 80 - Start faults → Stall/Hung start → Eng 2 Hung Start,False
Eng 2 Loop A,6,normalized_exact_label_or_group_label,M087,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop A,False
